intended_code,intended_linear,sent_frac,sent_code
121,0.474509803921569,0.642547717500896,164
122,0.47843137254902,0.644489906681754,164
123,0.482352941176471,0.646505861087319,165
124,0.486274509803922,0.648600988926731,165
125,0.490196078431373,0.650780698409133,166
126,0.494117647058824,0.65312278522114,167
127,0.498039215686275,0.655711373394171,167
128,0.501960784313725,0.658515002474868,168
129,0.505882352941176,0.661501459866313,169
130,0.509803921568627,0.664638532971584,169
131,0.513725490196078,0.667894009193762,170
132,0.517647058823529,0.671235675935926,171
133,0.52156862745098,0.674631320601158,172
134,0.525490196078431,0.678048730592536,173
135,0.529411764705882,0.68145569331314,174
136,0.533333333333333,0.684819996166051,175
137,0.537254901960784,0.688109426554349,175
138,0.541176470588235,0.691291771881113,176
139,0.545098039215686,0.694334819549424,177
140,0.549019607843137,0.697206356962361,178
141,0.552941176470588,0.699874171523005,178
142,0.556862745098039,0.702308067068363,179
143,0.56078431372549,0.704598441404669,180
144,0.564705882352941,0.706812155108026,180
145,0.568627450980392,0.708954429753119,181
146,0.572549019607843,0.711030486914633,181
147,0.576470588235294,0.713045548167251,182
148,0.580392156862745,0.71500483508566,182
149,0.584313725490196,0.716913569244545,183
150,0.588235294117647,0.718776972218588,183
151,0.592156862745098,0.720600265582477,184
152,0.596078431372549,0.722388670910896,184
153,0.6,0.724147409778528,185
154,0.603921568627451,0.72588170376006,185
155,0.607843137254902,0.727596774430176,186
156,0.611764705882353,0.729297843363561,186
157,0.615686274509804,0.730990132134899,186
158,0.619607843137255,0.732678862318876,187
159,0.623529411764706,0.734369255490177,187
160,0.627450980392157,0.736066533223486,188
161,0.631372549019608,0.737775917093488,188
162,0.635294117647059,0.739502628674867,189
163,0.63921568627451,0.74125188954231,189
164,0.643137254901961,0.7430289212705,189
165,0.647058823529412,0.744838945434122,190
166,0.650980392156863,0.746687183607862,190
167,0.654901960784314,0.748578857366404,191
168,0.658823529411765,0.750511425270759,191
169,0.662745098039216,0.752468480125468,192
170,0.666666666666667,0.754447099178919,192
171,0.670588235294118,0.756444982141476,193
172,0.674509803921569,0.758459828723504,193
173,0.67843137254902,0.760489338635371,194
174,0.682352941176471,0.762531211587441,194
175,0.686274509803922,0.76458314729008,195
176,0.690196078431373,0.766642845453655,195
177,0.694117647058824,0.76870800578853,196
178,0.698039215686274,0.770776328005071,197
179,0.701960784313725,0.772845511813645,197
180,0.705882352941177,0.774913256924617,198
181,0.709803921568627,0.776977263048352,198
182,0.713725490196078,0.779035229895217,199
183,0.717647058823529,0.781084857175578,199
184,0.72156862745098,0.783123844599799,200
185,0.725490196078431,0.785149891878246,200
186,0.729411764705882,0.787160698721286,201
187,0.733333333333333,0.789153964839285,201
188,0.737254901960784,0.791127389942607,202
189,0.741176470588235,0.793078673741619,202
190,0.745098039215686,0.795005515946686,203
191,0.749019607843137,0.796905616268174,203
192,0.752941176470588,0.798776674416449,204
193,0.756862745098039,0.800613302724171,204
194,0.76078431372549,0.802376871913909,205
195,0.764705882352941,0.804062460678121,205
196,0.768627450980392,0.805677831672077,205
197,0.772549019607843,0.807230747551047,206
198,0.776470588235294,0.8087289709703,206
199,0.780392156862745,0.810180264585106,207
200,0.784313725490196,0.811592391050734,207
201,0.788235294117647,0.812973113022455,207
202,0.792156862745098,0.814330193155537,208
203,0.796078431372549,0.81567139410525,208
204,0.8,0.817004478526864,208
205,0.803921568627451,0.818337209075649,209
206,0.807843137254902,0.819677348406874,209
207,0.811764705882353,0.821032659175808,209
208,0.815686274509804,0.822410904037722,210
209,0.819607843137255,0.823819845647885,210
210,0.823529411764706,0.825267246661566,210
211,0.827450980392157,0.826760869734036,211
212,0.831372549019608,0.828308477520563,211
213,0.835294117647059,0.829917832676418,212
214,0.83921568627451,0.83159669785687,212
215,0.843137254901961,0.833352835717188,213
216,0.847058823529412,0.835194008912643,213
217,0.850980392156863,0.837127980098503,213
218,0.854901960784314,0.839162511930039,214
219,0.858823529411765,0.841305367062519,215
220,0.862745098039216,0.843564308151215,215
221,0.866666666666667,0.845947097851394,216
222,0.870588235294118,0.848461498818328,216
223,0.874509803921569,0.851116405111572,217
224,0.87843137254902,0.854387807986069,218
225,0.882352941176471,0.858532845057353,219
226,0.886274509803922,0.863362681400465,220
227,0.890196078431372,0.868688482090446,222
228,0.894117647058824,0.874321412202335,223
229,0.898039215686275,0.880072636811173,224
230,0.901960784313726,0.885753320992001,226
231,0.905882352941176,0.89117462981986,227
232,0.909803921568627,0.896147728369789,229
233,0.913725490196078,0.900483781716829,230
234,0.917647058823529,0.904085259052995,231
235,0.92156862745098,0.907234427630452,231
236,0.925490196078431,0.910026026386745,232
237,0.929411764705882,0.912523926165486,233
238,0.933333333333333,0.914791997810292,233
239,0.937254901960784,0.916894112164777,234
240,0.941176470588235,0.918894140072555,234
241,0.945098039215686,0.92085595237724,235
242,0.949019607843137,0.922843419922449,235
243,0.952941176470588,0.924920413551794,236
244,0.956862745098039,0.927150804108892,236
245,0.96078431372549,0.929598462437356,237
246,0.964705882352941,0.932327259380801,238
247,0.968627450980392,0.935401065782842,239
248,0.972549019607843,0.938883752487093,239
249,0.976470588235294,0.942839190337169,240
250,0.980392156862745,0.947331250176684,242
251,0.984313725490196,0.953168070243005,243
252,0.988235294117647,0.962377103717,245
253,0.992156862745098,0.974027325966627,248
254,0.996078431372549,0.986955902793692,252
255,1,1,255
